"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"105","Acer monspessulanum","temperate","AM",0,"angiosperm",13.2291666982752,710.181818181818
"106","Acer negundo","temperate","AM",0,"angiosperm",9.02230389816139,946.470588235294
"107","Acer oblongum","tropical","AM",0,"angiosperm",16.304166773955,1874
"108","Acer oliverianum","temperate","AM",0,"angiosperm",7.91250004371007,841
"109","Acer opalus","temperate","AM",0,"angiosperm",13.2725000083447,705.4
"110","Acer palmatum","temperate","AM",0,"angiosperm",10.7979166582227,1076
"111","Acer pensylvanicum","temperate","AM",0,"angiosperm",5.44115148398752,1150.86021505376
"112","Acer pictum","temperate","AM",0,"angiosperm",4.05294118573268,716.588235294118
"113","Acer platanoides","boreal","AM",0,"angiosperm",8.42666667489956,791.24
"114","Acer pseudoplatanus","boreal","AM",0,"angiosperm",8.34198719001988,740.820512820513
"115","Acer pseudosieboldianum","temperate","AM",0,"angiosperm",2.79687502110998,696.75
"116","Acer rubrum","temperate","AM",0,"angiosperm",9.26747395911564,1174.83125
"117","Acer rufinerve","temperate","AM",0,"angiosperm",10.3250000178814,1421
"119","Acer saccharum","temperate","AM",0,"angiosperm",5.86143391278568,1091.67136150235
"120","Acer sinense","tropical","AM",0,"angiosperm",19.7791667779287,1544
"123","Acer tegmentosum","temperate","AM",0,"angiosperm",2.234848507426,681.545454545455
"124","Acer truncatum","tropical","AM",0,"angiosperm",16.1406251130005,1333
"125","Acer tschonoskii","temperate","AM",0,"angiosperm",1.15000002396603,747
"126","Acer ukurunduense","temperate","AM",0,"angiosperm",0.785648166857384,753.444444444444
"127","Acidoton nicaraguensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"129","Acosmium dasycarpum","tropical","AM",1,"angiosperm",22.6675439801132,1222.68421052632
"130","Acronychia pedunculata","tropical","AM",0,"angiosperm",19.9557693004608,1867.61538461538
"131","Actinidia arguta","temperate","AM",0,"angiosperm",3.18125001713634,660.75
"132","Actinidia eriantha","tropical","AM",0,"angiosperm",19.3958335320155,1629
"133","Actinidia glaucocallosa","tropical","AM",0,"angiosperm",11.6458334252238,985
"134","Actinodaphne henryi","tropical","AM",0,"angiosperm",21.0812500119209,1638.5
"136","Adelia triloba","tropical","AM",0,"angiosperm",25.870833158493,1629
"138","Adenanthera pavonina","tropical","AM",0,"angiosperm",26.9177083770434,1123.5
"139","Adenocalymma cladotrichum","tropical","AM",0,"angiosperm",25.3083333969116,3115
"140","Adenostoma fasciculatum","temperate","ECM",0,"angiosperm",14.246078349869,562.117647058824
"141","Adina cordifolia","tropical","AM",0,"angiosperm",24.8902778095669,1256.66666666667
"142","Adina pilulifera","tropical","AM",0,"angiosperm",18.3291667848825,1633
"144","Adinandra hainanensis","tropical","AM",0,"angiosperm",22.6416665448083,1635.66666666667
"145","Adinandra megaphylla","tropical","AM",0,"angiosperm",17.2625000377496,1637
"146","Adinandra millettii","tropical","AM",0,"angiosperm",19.7791667779287,1544
"147","Aegiceras corniculatum","tropical","AM",0,"angiosperm",21.8455128547473,1591.92307692308
"148","Aegiphila cordifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"150","Aegiphila haughtii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"151","Aegiphila integrifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"152","Aegiphila lhotzkiana","tropical","AM",0,"angiosperm",21.2395834128062,1431
"153","Aegle marmelos","tropical","AM",0,"angiosperm",26.3458332353168,1044
"154","Aesculus californica","temperate","AM",0,"angiosperm",14.2351851132181,554.111111111111
"156","Aesculus hippocastanum","boreal","AM",0,"angiosperm",9.43916675398747,918.9
"157","Aesculus indica","tropical","AM",0,"angiosperm",16.304166773955,1874
"158","Aesculus lantsangensis","tropical","AM",0,"angiosperm",22.5958334207535,1650
"159","Aesculus parviflora","temperate","AM",0,"angiosperm",10.3375001102686,991
"160","Aextoxicon punctatum","temperate","AM",0,"angiosperm",10.1840909287108,2159
"162","Aglaia rohitika","tropical","AM",0,"angiosperm",26.3541665474574,1042
"163","Aidia cochinchinensis","tropical","AM",0,"angiosperm",20.4458333916134,1640
"164","Ailanthus altissima","temperate","AM",0,"angiosperm",11.3392856711788,643.571428571429
"165","Ailanthus fordii","tropical","AM",0,"angiosperm",22.5958334207535,1650
"166","Aiphanes ulei","tropical","AM",0,"angiosperm",25.3083333969116,3115
"167","Akebia quinata","temperate","AM",0,"angiosperm",10.1166667193174,788
"168","Akebia trifoliata","tropical","AM",0,"angiosperm",18.8583333012131,1491.33333333333
"169","Alangium chinense","temperate","AM",0,"angiosperm",16.879924267982,1115.09090909091
"171","Albizia adianthifolia","temperate","AM",1,"angiosperm",18.4500000377496,864
"173","Albizia julibrissin","temperate","AM",1,"angiosperm",16.1708332747221,1165
"174","Albizia lucidior","tropical","AM",1,"angiosperm",22.5958334207535,1650
"175","Albizia procera","tropical","AM",1,"angiosperm",27.0685189565023,1316.34261038844
"178","Alchornea glandulosa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"180","Alchornea latifolia","tropical","AM",0,"angiosperm",17.3062499364217,2334.5
"181","Alchornea rugosa","tropical","AM",0,"angiosperm",20.2833333015442,1567
"182","Alchornea schomburgkii","tropical","AM",0,"angiosperm",27.0875000953674,2282
"183","Alchornea trewioides","tropical","AM",0,"angiosperm",19.8895833392938,1689
"184","Alchornea triplinervia","tropical","AM",0,"angiosperm",22.3777777751287,2172.33333333333
"185","Alchorneopsis floribunda","tropical","AM",0,"angiosperm",25.4319444762336,2995.33333333333
"187","Aldina heterophylla","tropical","ECM",0,"angiosperm",26.387499888738,2352
"189","Alectryon excelsus","temperate","AM",0,"angiosperm",13.9041666686535,1295
"190","Alfaroa costaricensis","tropical","ECM",0,"angiosperm",12.0000000198682,2427
"191","Alfaroa guanacastensis","tropical","ECM",0,"angiosperm",23.6041666666667,2093
"192","Alhagi pseudalhagi","temperate","AM",1,"angiosperm",10.7527777867185,61.5
"193","Alibertia claviflora","tropical","AM",0,"angiosperm",25.3083333969116,3115
"194","Alibertia edulis","tropical","AM",0,"angiosperm",26.5645832220713,1718.5
"196","Alibertia verrucosa","tropical","AM",0,"angiosperm",25.6208333969116,1142
"197","Allagoptera arenaria","tropical","AM",0,"angiosperm",22.9395834207535,1095.5
"198","Allocasuarina decaisneana","tropical","ECM",1,"angiosperm",22.5875000026491,354
"201","Allophylus amazonicus","tropical","AM",0,"angiosperm",25.3083333969116,3115
"203","Allophylus cobbe","tropical","AM",0,"angiosperm",20.4499999682109,1644
"204","Allophylus divaricatus","tropical","AM",0,"angiosperm",25.3083333969116,3115
"205","Allophylus pilosus","tropical","AM",0,"angiosperm",25.3083333969116,3115
"207","Alniphyllum fortunei","tropical","AM",0,"angiosperm",19.0875001077851,1488.75
"209","Alnus cremastogyne","tropical","ECM",1,"angiosperm",14.408333281676,939
"211","Alnus formosana","tropical","ECM",1,"angiosperm",16.6916668713093,1616
"213","Alnus hirsuta","temperate","ECM",1,"angiosperm",2.25879629215019,699.888888888889
"214","Alnus incana","boreal","ECM",1,"angiosperm",0.855208315514028,406.9
"217","Alnus nepalensis","tropical","ECM",1,"angiosperm",16.0319444934527,1572
"218","Alnus rhombifolia","temperate","ECM",1,"angiosperm",13.8766665836175,581
