"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","NA","NA"
"1132","Diospyros artanthifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1133","Diospyros blancoi","tropical","AM",0,"angiosperm",23.6041666666667,2093
"1134","Diospyros capreifolia","tropical","AM",0,"angiosperm",25.4270834326744,2871.5
"1135","Diospyros carbonaria","tropical","AM",0,"angiosperm",25.7750000688765,2850.16666666667
"1136","Diospyros cathayensis","temperate","AM",0,"angiosperm",16.9611110736926,1091.33333333333
"1137","Diospyros cauliflora","tropical","AM",0,"angiosperm",26.7541665236155,1942
"1138","Diospyros cuneata","tropical","AM",0,"angiosperm",26.0041666030884,745
"1139","Diospyros curranii","tropical","AM",0,"angiosperm",26.7291665871938,2290
"1141","Diospyros dichroa","tropical","AM",0,"angiosperm",25.6708334287008,3327
"1142","Diospyros dumetorum","tropical","AM",0,"angiosperm",20.7499999403954,1592
"1143","Diospyros ekodul","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1144","Diospyros embryopteris","tropical","AM",0,"angiosperm",26.3458332353168,1044
"1145","Diospyros eriantha","tropical","AM",0,"angiosperm",21.4416666560703,1803.33333333333
"1146","Diospyros hainanensis","tropical","AM",0,"angiosperm",23.8208331664403,1670
"1147","Diospyros hasseltii","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1148","Diospyros hispida","tropical","AM",0,"angiosperm",20.7583334445953,1303
"1149","Diospyros howii","tropical","AM",0,"angiosperm",23.8208331664403,1670
"1151","Diospyros inflata","tropical","AM",0,"angiosperm",23.8208331664403,1670
"1153","Diospyros kaki","temperate","AM",0,"angiosperm",17.0422221925524,1042.86666666667
"1154","Diospyros kerrii","tropical","AM",0,"angiosperm",19.6041667064031,1564
"1155","Diospyros kirkii","tropical","AM",0,"angiosperm",22.0708329677582,736
"1156","Diospyros lotus","temperate","AM",0,"angiosperm",13.816666627458,1005.375
"1157","Diospyros lycioides","tropical","AM",0,"angiosperm",20.7958332101504,637
"1158","Diospyros maingayi","tropical","AM",0,"angiosperm",26.7541665236155,1942
"1159","Diospyros melanoxylon","tropical","AM",0,"angiosperm",24.8902778095669,1256.66666666667
"1160","Diospyros mespiliformis","tropical","AM",0,"angiosperm",22.0708329677582,736
"1161","Diospyros miaoshanica","tropical","AM",0,"angiosperm",16.3708334118128,1284
"1162","Diospyros morrisiana","tropical","AM",0,"angiosperm",20.9333333571752,1473
"1164","Diospyros nicaraguensis","tropical","AM",0,"angiosperm",27.6333335240682,1789
"1165","Diospyros nigrocortex","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1166","Diospyros nutans","tropical","AM",0,"angiosperm",26.7541665236155,1942
"1167","Diospyros pseudoxylopia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1168","Diospyros quiloensis","tropical","AM",0,"angiosperm",22.0708329677582,736
"1169","Diospyros salicifolia","tropical","AM",0,"angiosperm",25.870833158493,1629
"1170","Diospyros sandwicensis","tropical","AM",0,"angiosperm",3.7833333419015,726
"1171","Diospyros subrotata","tropical","AM",0,"angiosperm",25.3736111323039,2827
"1174","Diospyros tutcheri","tropical","AM",0,"angiosperm",20.9333333571752,1473
"1176","Diospyros whyteana","tropical","AM",0,"angiosperm",20.4191667536894,700
"1177","Diospyros yunnanensis","tropical","AM",0,"angiosperm",22.1708331902822,1289
"1178","Diploon cuspidatum","tropical","AM",0,"angiosperm",24.4284722937478,2822.83333333333
"1179","Diplorhynchus condylocarpon","tropical","AM",0,"angiosperm",21.3941666762034,666.8
"1180","Diplospora dubia","tropical","AM",0,"angiosperm",16.5708333154519,1245.66666666667
"1182","Diplotropis purpurea","tropical","AM",1,"angiosperm",25.5370370723583,2892.88888888889
"1183","Dipterocarpus acutangulus","tropical","ECM",0,"angiosperm",26.7291665871938,2290
"1184","Dipterocarpus alatus","tropical","ECM",0,"angiosperm",27.8208332856496,1256
"1188","Dipteryx odorata","tropical","AM",0,"angiosperm",25.9482638703452,2313.66666666667
"1189","Dirca occidentalis","temperate","AM",0,"angiosperm",13.7347221838103,594.833333333333
"1190","Dirca palustris","temperate","AM",0,"angiosperm",9.02916661029061,1021
"1192","Distylium myricoides","tropical","AM",0,"angiosperm",16.8736111753517,1513
"1193","Dittrichia viscosa","temperate","AM",0,"angiosperm",17.366666773955,421
"1194","Dodecastigma integrifolium","tropical","AM",0,"angiosperm",25.5041666030884,2251
"1195","Dodonaea triquetra","temperate","AM",0,"angiosperm",17.8791666030884,1244
"1196","Dodonaea viscosa","temperate","AM",0,"angiosperm",17.9235416690509,636.05
"1200","Dombeya rotundifolia","tropical","AM",0,"angiosperm",20.7291668090555,663.666666666667
"1201","Doryphora aromatica","tropical","AM",0,"angiosperm",21.0875000953674,2464
"1203","Dracontomelon macrocarpum","tropical","AM",0,"angiosperm",23.2458333969116,1357
"1204","Drimys granadensis","tropical","AM",0,"angiosperm",13.3549999952316,2393.4
"1205","Drimys piperita","tropical","AM",0,"angiosperm",27.2958333492279,2637
"1206","Drimys winteri","temperate","AM",0,"angiosperm",10.5973684395614,1830.57894736842
"1207","Dryas integrifolia","boreal","ECM",1,"angiosperm",-9.72083330595935,287.444444444444
"1208","Dryas octopetala","boreal","ECM",1,"angiosperm",-1.23497806763146,397.973684210526
"1209","Drypetes amazonica","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1212","Drypetes lateriflora","tropical","AM",0,"angiosperm",21.2625002066294,1015
"1214","Drypetes standleyi","tropical","AM",0,"angiosperm",22.908333381017,3073
"1215","Drypetes variabilis","tropical","AM",0,"angiosperm",25.6666668085825,2888.42857142857
"1216","Duabanga grandiflora","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1217","Dubautia ciliolata","tropical","AM",0,"angiosperm",8.30000003178914,812
"1218","Dubautia scabra","tropical","AM",0,"angiosperm",16.1163461575141,2613.76923076923
"1219","Duguetia cadaverica","tropical","AM",0,"angiosperm",25.4430554972755,1990.33333333333
"1220","Duguetia calycina","tropical","AM",0,"angiosperm",25.6875,2814
"1222","Duguetia cortaten","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1223","Duguetia echinophora","tropical","AM",0,"angiosperm",25.3865383649484,1873.61538461538
"1224","Duguetia furfuracea","tropical","AM",0,"angiosperm",19.8500000238419,1434
"1225","Duguetia hadrantha","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1226","Duguetia lucida","tropical","AM",0,"angiosperm",27.3416665395101,1934
"1227","Duguetia quitarensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1228","Duguetia spixiana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1229","Duguetia surinamensis","tropical","AM",0,"angiosperm",25.4458334445953,3108.25
"1230","Dulacia candida","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1231","Dulacia guianensis","tropical","AM",0,"angiosperm",25.6708334287008,3327
"1232","Duroia aquatica","tropical","AM",0,"angiosperm",25.4916667938232,3106
"1233","Duroia eriopila","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1234","Duroia fusifera","tropical","AM",0,"angiosperm",26.3916665712992,2360
"1235","Duroia hirsuta","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1236","Duroia macrophylla","tropical","AM",0,"angiosperm",26.3333332538605,2386
"1237","Dysoxylum excelsum","tropical","AM",0,"angiosperm",20.7791668176651,1833
"1238","Dysoxylum gotadhora","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1239","Dysoxylum papuanum","tropical","AM",0,"angiosperm",24.6375001271566,2396
"1240","Dysoxylum spectabile","temperate","AM",0,"angiosperm",13.9041666686535,1295
"1241","Ecclinusa angostaestipul","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1242","Ecclinusa guianensis","tropical","AM",0,"angiosperm",26.2115195498747,2476.82352941176
"1243","Ecclinusa lanceolata","tropical","AM",0,"angiosperm",25.7541666030884,3136
"1244","Ecclinusa ramiflora","tropical","AM",0,"angiosperm",26.0773809069679,2592.85714285714
"1246","Elaeagnus angustifolia","temperate","AM",1,"angiosperm",12.5231481090326,164.166666666667
"1247","Elaeagnus commutata","temperate","AM",1,"angiosperm",9.02916661029061,1021
"1249","Elaeagnus henryi","tropical","AM",1,"angiosperm",17.366666490833,1346
"1250","Elaeagnus multiflora","temperate","AM",1,"angiosperm",12.4145833160728,1034.5
"1251","Elaeagnus oxycarpa","temperate","AM",1,"angiosperm",12.4958332280318,39
"1252","Elaeagnus pungens","temperate","AM",1,"angiosperm",8.7017856903729,712.857142857143
"1253","Elaeagnus stellipila","temperate","AM",1,"angiosperm",10.1166667193174,788
"1254","Elaeagnus umbellata","temperate","AM",1,"angiosperm",8.44861110920708,862.666666666667
"1257","Elaeocarpus angustifolius","tropical","AM",0,"angiosperm",24.1250000794729,2649.5
"1258","Elaeocarpus decipiens","tropical","AM",0,"angiosperm",16.5708333154519,1245.66666666667
"1259","Elaeocarpus dubius","tropical","AM",0,"angiosperm",21.762499888738,1790
"1260","Elaeocarpus glabripetalus","tropical","AM",0,"angiosperm",20.1083333740632,1615.25
"1261","Elaeocarpus grandis","tropical","AM",0,"angiosperm",24.6375001271566,2396
"1262","Elaeocarpus hookerianus","temperate","AM",0,"angiosperm",13.9041666686535,1295
"1263","Elaeocarpus japonicus","tropical","AM",0,"angiosperm",17.2660715494837,1483.28571428571
"1264","Elaeocarpus largiflorens","tropical","AM",0,"angiosperm",18.8791665236155,2056
"1266","Elaeocarpus rugosus","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1268","Elaeocarpus sylvestris","tropical","AM",0,"angiosperm",22.7000001072884,1422.625
"1269","Elaeocarpus varunua","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1270","Elaeoluma glabrescens","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1271","Elaeoluma nuda","tropical","AM",0,"angiosperm",25.6875,2814
"1273","Eleutherococcus senticosus","temperate","AM",0,"angiosperm",4.73928572006878,681.428571428571
"1274","Eleutherococcus sessiliflorus","temperate","AM",0,"angiosperm",4.24999990562598,660
"1275","Eleutherococcus trifoliatus","tropical","AM",0,"angiosperm",17.366666490833,1346
"1276","Elsholtzia stauntonii","temperate","AM",0,"angiosperm",7.2625000923872,493
"1277","Embothrium coccineum","temperate","AM",0,"angiosperm",10.1840909287108,2159
"1278","Endospermum chinense","tropical","AM",0,"angiosperm",24.093560757059,1312.63636363636
"1280","Engelhardia colebrookeana","tropical","ECM",0,"angiosperm",16.304166773955,1874
"1281","Engelhardia roxburghiana","tropical","ECM",0,"angiosperm",21.3479166229566,1631.5
"1282","Engelhardia spicata","tropical","ECM",0,"angiosperm",21.0812500119209,1638.5
"1283","Englerophytum natalense","tropical","AM",0,"angiosperm",20.2222221493721,1000.33333333333
"1284","Enterolobium cyclocarpum","tropical","AM",1,"angiosperm",26.480833307902,1940
"1285","Eperua falcata","tropical","AM",0,"angiosperm",25.7647727629839,2775.76623376623
"1286","Eperua grandiflora","tropical","AM",0,"angiosperm",25.8465277732365,2706.28571428571
"1287","Eperua leucantha","tropical","ECM",0,"angiosperm",26.2750000953674,3445
"1288","Eperua purpurea","tropical","ECM",0,"angiosperm",26.2750000953674,3445
"1289","Ephedra distachya","temperate","AM",0,"gymnosperm",7.26388889509771,369
"1290","Ephedra intermedia","temperate","AM",0,"gymnosperm",5.07083327975124,246
"1291","Epiphyllum phyllanthus","tropical","AM",0,"angiosperm",26.125,2370
"1292","Eremophila deserti","temperate","AM",0,"angiosperm",17.3875000344382,419.333333333333
"1293","Eremophila glabra","temperate","AM",0,"angiosperm",17.391666697386,407.769230769231
"1295","Eremophila mitchelli","temperate","AM",0,"angiosperm",17.3708333969116,422
"1296","Ericameria linearifolia","temperate","AM",0,"angiosperm",14.7000000585491,313
"1297","Eriobotrya japonica","tropical","AM",0,"angiosperm",19.3916667016844,1471.25
"1298","Eriodictyon californicum","temperate","AM",0,"angiosperm",13.7285713879835,594.428571428571
"1299","Eriodictyon traskiae","tropical","AM",0,"angiosperm",16.6375000476837,561
"1300","Eriolaena spectabilis","tropical","AM",0,"angiosperm",22.1708331902822,1289
"1302","Eriotheca globosa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1303","Eriotheca pubescens","tropical","AM",0,"angiosperm",22.7629903180926,1233.64705882353
"1304","Erisma bicolor","tropical","AM",0,"angiosperm",26.3333332538605,2386
"1305","Erisma blancoa","tropical","AM",0,"angiosperm",23.2500000794729,3214
"1306","Erisma floribundum","tropical","AM",0,"angiosperm",25.4916667938232,3106
"1307","Erisma uncinatum","tropical","AM",0,"angiosperm",25.7871323894052,2061.70588235294
"1308","Erythrina fusca","tropical","AM",1,"angiosperm",25.9499998092651,2495
"1309","Erythrina poeppigiana","tropical","AM",1,"angiosperm",22.8458332220713,3270
"1310","Erythrina variegata","tropical","AM",1,"angiosperm",2.97083333879709,755
"1311","Erythrophleum africanum","tropical","AM",1,"angiosperm",21.8270832846562,781.875
"1312","Erythrophleum chlorostachys","tropical","AM",1,"angiosperm",27.308333345488,1499.47058823529
"1313","Erythroxylum citrifolium","tropical","AM",0,"angiosperm",19.9916667143504,2383
"1315","Erythroxylum daphnites","tropical","AM",0,"angiosperm",22.6291668017705,1428
"1317","Erythroxylum gracilipes","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1318","Erythroxylum macrophyllum","tropical","AM",0,"angiosperm",24.0097222328186,2730
"1320","Erythroxylum squamatum","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1321","Erythroxylum suberosum","tropical","AM",0,"angiosperm",22.8655304150148,1084.72727272727
"1322","Escallonia myrtilloides","tropical","AM",0,"angiosperm",11.3916666110357,2365
"1323","Eschweilera andina","tropical","AM",0,"angiosperm",25.3736111323039,2827
"1324","Eschweilera bracteosa","tropical","AM",0,"angiosperm",25.735000038147,2127
"1325","Eschweilera chartacea","tropical","AM",0,"angiosperm",25.5041666030884,2251
"1326","Eschweilera chartaceifolia","tropical","AM",0,"angiosperm",25.579166730245,3116
"1327","Eschweilera congestiflora","tropical","AM",0,"angiosperm",25.6875,2814
"1328","Eschweilera coriacea","tropical","AM",0,"angiosperm",25.7212963570993,2854.2380952381
"1329","Eschweilera decolorans","tropical","AM",0,"angiosperm",25.7091346459511,2806.76923076923
"1330","Eschweilera giga","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1331","Eschweilera gigandin","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1332","Eschweilera gigantea","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1333","Eschweilera grandiflora","tropical","AM",0,"angiosperm",25.7078431073357,3130.70588235294
"1334","Eschweilera juruensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1335","Eschweilera micrantha","tropical","AM",0,"angiosperm",26.0708334128062,2537.8
"1336","Eschweilera neei","tropical","AM",0,"angiosperm",22.908333381017,3073
"1337","Eschweilera odora","tropical","AM",0,"angiosperm",26.1333332326677,2539.33333333333
"1338","Eschweilera ovalifolia","tropical","AM",0,"angiosperm",26.2708333333333,2435
"1339","Eschweilera parviflora","tropical","AM",0,"angiosperm",26.0055556164847,2574.16666666667
"1340","Eschweilera pedicellata","tropical","AM",0,"angiosperm",25.6411111619737,2369.73333333333
"1341","Eschweilera romeu-cardosoi","tropical","AM",0,"angiosperm",26.2708333333333,2435
"1342","Eschweilera rufifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1343","Eschweilera sagotiana","tropical","AM",0,"angiosperm",25.7187500198682,2850.675
"1344","Eschweilera simiorum","tropical","AM",0,"angiosperm",25.4916667938232,3106
"1345","Eschweilera wachenheimii","tropical","AM",0,"angiosperm",26.3333332538605,2386
"1346","Esenbeckia amazonica","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1347","Eucalyptus accedens","temperate","ECM",0,"angiosperm",13.3583333976567,709
"1351","Eucalyptus bleeseri","tropical","ECM",0,"angiosperm",27.3145832618078,1016
"1354","Eucalyptus brevifolia","tropical","ECM",0,"angiosperm",26.7927083571752,649.375
"1358","Eucalyptus clavigera","tropical","ECM",0,"angiosperm",27.365833457311,1579.6
"1359","Eucalyptus clelandii","temperate","ECM",0,"angiosperm",18.3041665752729,271
"1363","Eucalyptus coolabah","tropical","ECM",0,"angiosperm",26.4374999205271,660
"1372","Eucalyptus fibrosa","temperate","ECM",0,"angiosperm",17.2791665991147,860
"1376","Eucalyptus globulus","temperate","ECM",0,"angiosperm",18.5020833507491,753.375
"1377","Eucalyptus grandis","temperate","ECM",0,"angiosperm",13.1500000099962,725
"1379","Eucalyptus haemastoma","temperate","ECM",0,"angiosperm",17.5177777210871,1136.4
"1386","Eucalyptus miniata","tropical","ECM",0,"angiosperm",27.4112179798958,1469.30769230769
"1389","Eucalyptus nitens","tropical","ECM",0,"angiosperm",15.612500021855,914
"1392","Eucalyptus paniculata","temperate","ECM",0,"angiosperm",17.8791666030884,1244
"1393","Eucalyptus papuana","tropical","ECM",0,"angiosperm",22.2091665903727,359.4
"1395","Eucalyptus populnea","temperate","ECM",0,"angiosperm",16.950000077486,462
"1396","Eucalyptus porrecta","tropical","ECM",0,"angiosperm",27.5354167620341,1549.5
"1397","Eucalyptus pruinosa","tropical","ECM",0,"angiosperm",27.1660714887437,720.142857142857
"1400","Eucalyptus regnans","temperate","ECM",0,"angiosperm",15.6875000447035,506
"1402","Eucalyptus salmonophloia","temperate","ECM",0,"angiosperm",18.3041665752729,271
"1403","Eucalyptus salubris","temperate","ECM",0,"angiosperm",17.4612499465545,297.3
"1404","Eucalyptus sclerophylla","temperate","ECM",0,"angiosperm",16.2041666110357,1049
"1408","Eucalyptus tectifica","tropical","ECM",0,"angiosperm",27.3820834000905,1035.6
"1410","Eucalyptus terminalis","tropical","ECM",0,"angiosperm",25.289511531934,513.48275862069
"1411","Eucalyptus tetrodonta","tropical","ECM",0,"angiosperm",27.3540509574943,1536.91666666667
"1412","Eucalyptus transcontinentalis","temperate","ECM",0,"angiosperm",18.3041665752729,271
"1414","Eucalyptus urophylla","tropical","ECM",0,"angiosperm",22.2708333730698,1895
"1417","Euclea divinorum","tropical","AM",0,"angiosperm",21.1942982454049,750.368421052632
"1418","Euclea natalensis","tropical","AM",0,"angiosperm",20.9052084386349,997.5
"1419","Euclea racemosa","tropical","AM",0,"angiosperm",21.0776515133453,798.454545454545
"1420","Euclea undulata","temperate","AM",0,"angiosperm",19.7020834088326,564.5
"1421","Eucryphia cordifolia","temperate","AM",0,"angiosperm",11.0117647286285,1794.52941176471
"1422","Eucryphia lucida","temperate","AM",0,"angiosperm",10.7791665941477,1295
"1424","Eugenia egensis","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1425","Eugenia monticola","tropical","AM",0,"angiosperm",27.2583332856496,1808
"1426","Eugenia pseudopsidium","tropical","AM",0,"angiosperm",25.6875,2814
"1428","Euonymus alatus","temperate","AM",0,"angiosperm",8.27341270668521,820.190476190476
"1429","Euonymus americanus","temperate","AM",0,"angiosperm",9.02916661029061,1021
"1430","Euonymus bungeanus","temperate","AM",0,"angiosperm",1.95937505364418,381.25
"1431","Euonymus dielsianus","tropical","AM",0,"angiosperm",16.3708334118128,1284
"1432","Euonymus europaeus","boreal","AM",0,"angiosperm",9.13055561427717,896
"1433","Euonymus grandiflorus","temperate","AM",0,"angiosperm",3.24583330191672,587
"1434","Euonymus hamiltonianus","temperate","AM",0,"angiosperm",9.02916661029061,1021
"1435","Euonymus maackii","temperate","AM",0,"angiosperm",9.90624990252157,523.5
"1436","Euonymus myrianthus","tropical","AM",0,"angiosperm",19.7791667779287,1544
"1437","Euonymus oxyphyllus","temperate","AM",0,"angiosperm",10.2333332523704,819
"1438","Euonymus vagans","tropical","AM",0,"angiosperm",11.6458334252238,985
"1439","Euonymus verrucosus","temperate","AM",0,"angiosperm",2.75708333340784,654.8
"1443","Euphorbia corollata","temperate","AM",0,"angiosperm",12.0583333292355,893
"1444","Euphorbia margalidiana","temperate","AM",0,"angiosperm",16.120833337307,631
"1445","Euphorbia tirucalli","tropical","AM",0,"angiosperm",21.2958331505458,660
"1448","Eurya alata","tropical","AM",0,"angiosperm",16.968055418796,1285.66666666667
"1449","Eurya brevistyla","tropical","AM",0,"angiosperm",15.4833333740632,1124
"1450","Eurya chinensis","tropical","AM",0,"angiosperm",17.6583333313465,1472
"1451","Eurya groffii","temperate","AM",0,"angiosperm",16.133333362639,1215
"1452","Eurya japonica","tropical","AM",0,"angiosperm",17.8828283111386,1584.09090909091
"1453","Eurya jintungensis","tropical","AM",0,"angiosperm",13.5666666788359,976.5
"1454","Eurya loquaiana","tropical","AM",0,"angiosperm",16.3708334118128,1284
"1455","Eurya nitida","tropical","AM",0,"angiosperm",19.3958335320155,1629
"1456","Eurya pittosporifolia","tropical","AM",0,"angiosperm",20.5000000397364,1579
"1457","Eurya rubiginosa","tropical","AM",0,"angiosperm",16.1052082851529,1290.5
"1458","Eurya trichocarpa","tropical","AM",0,"angiosperm",15.4874999324481,968
"1460","Euscaphis japonica","tropical","AM",0,"angiosperm",16.7750000324514,1440.66666666667
"1461","Eutaxia microphylla","temperate","ECM",1,"angiosperm",17.3875000344382,419.333333333333
"1463","Euterpe precatoria","tropical","AM",0,"angiosperm",25.6829861534966,2410.16666666667
"1464","Excoecaria agallocha","tropical","AM",0,"angiosperm",23.6565477393922,1712.85714285714
"1466","Exostema mexicanum","tropical","AM",0,"angiosperm",27.3333333333333,1804.2
"1468","Fagus crenata","temperate","ECM",0,"angiosperm",9.79583335341886,1567.025
"1469","Fagus grandifolia","temperate","ECM",0,"angiosperm",5.54250642204131,1164.93367346939
"1470","Fagus longipetiolata","tropical","ECM",0,"angiosperm",19.7791667779287,1544
"1472","Fagus sylvatica","boreal","ECM",0,"angiosperm",9.49724359027723,847.251282051282
"1473","Fallugia paradoxa","temperate","AM",0,"angiosperm",15.3958333383004,286
"1474","Faramea capillipes","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1475","Faramea glandulosa","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1476","Faramea multiflora","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1477","Faramea occidentalis","tropical","AM",0,"angiosperm",24.5024166981379,2615.74
"1478","Faramea platyneura","tropical","AM",0,"angiosperm",25.3961309024266,1895
"1479","Faramea quinqueflora","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1480","Faramea torquata","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1481","Fargesia nitida","temperate","AM",0,"angiosperm",7.91250004371007,841
"1482","Fargesia wuliangshanensis","tropical","AM",0,"angiosperm",11.6458334252238,985
"1483","Faurea saligna","tropical","ECM",0,"angiosperm",17.8041667044163,651
"1485","Ficus americana","tropical","AM",0,"angiosperm",19.741666674614,2006.5
"1487","Ficus auriculata","tropical","AM",0,"angiosperm",22.6500000158946,1656.5
"1488","Ficus benghalensis","tropical","AM",0,"angiosperm",26.3458332353168,1044
"1489","Ficus benjamina","tropical","AM",0,"angiosperm",26.5749999682109,2483
"1490","Ficus boliviana","tropical","AM",0,"angiosperm",25.6208333969116,1142
"1493","Ficus callosa","tropical","AM",0,"angiosperm",22.7041666110357,1663
"1495","Ficus citrifolia","tropical","AM",0,"angiosperm",24.881944404708,1655
"1497","Ficus costaricana","tropical","AM",0,"angiosperm",21.4124999046326,1960
"1498","Ficus cotinifolia","tropical","AM",0,"angiosperm",23.5666666825612,1322
"1500","Ficus cyrtophylla","tropical","AM",0,"angiosperm",22.3208333386315,1670.33333333333
"1501","Ficus deltoidea","tropical","AM",0,"angiosperm",26.2791663805644,2342
"1502","Ficus erecta","tropical","AM",0,"angiosperm",20.0593748986721,1423.25
"1504","Ficus fulva","tropical","AM",0,"angiosperm",20.2875001192093,1607.4
"1506","Ficus henryi","tropical","AM",0,"angiosperm",16.3041666994492,1244.33333333333
"1507","Ficus heteromorpha","tropical","AM",0,"angiosperm",16.968055418796,1285.66666666667
"1508","Ficus hirta","tropical","AM",0,"angiosperm",22.7041666110357,1663
"1512","Ficus leptoclada","tropical","AM",0,"angiosperm",21.0875000953674,2464
"1515","Ficus microcarpa","tropical","AM",0,"angiosperm",20.7791668176651,1833
"1517","Ficus nymphaeifolia","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1519","Ficus palmata","tropical","AM",0,"angiosperm",16.304166773955,1874
"1520","Ficus pandurata","tropical","AM",0,"angiosperm",17.3145832642913,1491.5
"1522","Ficus perez-arbelaezii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1523","Ficus pertusa","tropical","AM",0,"angiosperm",21.2625002066294,1015
"1524","Ficus piresiana","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1525","Ficus pumila","tropical","AM",0,"angiosperm",17.2625000377496,1637
"1526","Ficus racemosa","tropical","AM",0,"angiosperm",26.174305650923,1531.33333333333
"1527","Ficus religiosa","tropical","AM",0,"angiosperm",26.3458332353168,1044
"1528","Ficus rumphii","tropical","AM",0,"angiosperm",26.3458332353168,1044
"1529","Ficus sarmentosa","tropical","AM",0,"angiosperm",17.366666490833,1346
"1530","Ficus schultesii","tropical","AM",0,"angiosperm",25.2916667461395,2497
"1531","Ficus scobina","tropical","AM",0,"angiosperm",27.4583334922791,1806
"1532","Ficus semicordata","tropical","AM",0,"angiosperm",21.6624999841054,1698
"1534","Ficus subulata","tropical","AM",0,"angiosperm",22.6500000158946,1656.5
"1535","Ficus superba","tropical","AM",0,"angiosperm",22.7041666110357,1663
"1536","Ficus tecolutensis","tropical","AM",0,"angiosperm",25.3986111217075,2321
"1537","Ficus tonduzii","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1538","Ficus trigona","tropical","AM",0,"angiosperm",25.3083333969116,3115
"1540","Ficus variolosa","tropical","AM",0,"angiosperm",19.9402777883742,1787.33333333333
"1541","Ficus virens","tropical","AM",0,"angiosperm",21.0083332856496,1818
"1544","Firmiana simplex","temperate","AM",0,"angiosperm",16.8250000402331,1288.33333333333
"1545","Fissistigma glaucescens","tropical","AM",0,"angiosperm",20.9319444629881,1823
"1546","Fissistigma oldhamii","tropical","AM",0,"angiosperm",19.3958335320155,1629
"1547","Fissistigma polyanthoides","tropical","AM",0,"angiosperm",22.7041666110357,1663
"1548","Fissistigma polyanthum","tropical","AM",0,"angiosperm",22.7041666110357,1663
"1549","Fitzroya cupressoides","temperate","AM",0,"gymnosperm",7.07499998249114,2137
"1550","Flindersia bourjotiana","tropical","AM",0,"angiosperm",21.0875000953674,2464
"1551","Flueggea suffruticosa","temperate","AM",0,"angiosperm",10.3583333178734,824.25
"1553","Forsteronia mollis","tropical","AM",0,"angiosperm",25.8416666984558,1880
"1554","Forsteronia spicata","tropical","AM",0,"angiosperm",25.870833158493,1629
"1555","Forsythia suspensa","temperate","AM",0,"angiosperm",8.95277775617109,718.666666666667
"1556","Fouquieria splendens","temperate","AM",0,"angiosperm",16.2184524167152,295.142857142857
"1557","Fraxinus americana","temperate","AM",0,"angiosperm",7.35462964700742,1038.64444444444
"1558","Fraxinus angustifolia","temperate","AM",0,"angiosperm",14.5250000435859,576.466666666667
"1559","Fraxinus bungeana","temperate","AM",0,"angiosperm",6.78750009172493,500.333333333333
"1560","Fraxinus chinensis","tropical","AM",0,"angiosperm",15.5515351674536,1363.63157894737
"1561","Fraxinus excelsior","boreal","AM",0,"angiosperm",8.80416664596308,790.090909090909
"1562","Fraxinus griffithii","tropical","AM",0,"angiosperm",23.2458333969116,1357
"1563","Fraxinus lanuginosa","temperate","AM",0,"angiosperm",10.3250000178814,1421
"1564","Fraxinus latifolia","temperate","AM",0,"angiosperm",5.36666661749284,1721
"1565","Fraxinus malacophylla","tropical","AM",0,"angiosperm",22.1708331902822,1289
"1566","Fraxinus mandshurica","temperate","AM",0,"angiosperm",3.18153231985747,594.251612903226
